skill_id,suffix
SK070591,REG
SK228962,SOC
SK228975,TEC
SK174280,COG
SK181033,COG
SK181040,COG
SK228986,COG
SK228983,REG
SK228989,SOC
SK010658,TEC
SK110345,REG
SK110344,REG
SK110343,COG
SK110346,REG
SK080871,REG
SK080867,TEC
SK080862,REG
SK080861,SOC
SK080864,SOC
SK080869,COG
SK122538,COG
SK122529,TEC
SK122537,TEC
SK122533,TEC
SK102237,TEC
SK102228,TEC
SK102233,TEC
SK102234,REG
SK102242,REG
SK102236,REG
SK102256,COG
SK182914,COG
SK182903,TEC
SK182909,REG
SK182913,TEC
SK182910,SOC
SK044203,SOC
SK044201,COG
SK044199,COG
SK044196,COG
SK102332,COG
SK102328,COG
SK102325,COG
SK102320,REG
SK102327,REG
SK102324,COG
SK128987,COG
SK128983,COG
SK128986,COG
SK128976,COG
SK128625,REG
SK128626,COG
SK128627,COG
SK128628,COG
SK128629,REG
SK128634,TEC
SK097538,COG
SK097479,COG
SK097476,COG
SK097473,COG
SK097480,COG
SK097536,TEC
SK097478,REG
SK097484,REG
SK201928,COG
SK201937,COG
SK224153,REG
SK224152,COG
SK224144,SOC
SK058750,REG
SK058748,REG
SK058751,REG
SK058760,REG
SK058755,REG
SK058749,TEC
SK080353,COG
SK080356,COG
SK080354,COG
SK080360,TEC
SK080363,SOC
SK080364,TEC
SK102366,COG
SK102369,COG
SK102374,REG
SK102371,SOC
SK102372,TEC
SK102368,REG
SK102364,SOC
SK069132,SOC
SK069133,COG
SK069129,COG
SK102361,COG
SK102350,COG
SK102353,REG
SK102354,REG
SK102363,REG
SK102349,COG
SK153285,COG
SK153291,SOC
SK153294,SOC
SK153293,REG
SK153284,REG
SK153295,SOC
SK153287,REG
SK153290,COG
SK153292,SOC
SK151796,COG
SK151794,SOC
SK151799,SLF
SK151802,COG
SK151805,COG
SK071939,COG
SK071933,SLF
SK227386,SOC
SK227621,COG
SK227389,TEC
SK227629,COG
SK227385,REG
SK227616,REG
SK227394,REG
SK227391,TEC
SK227360,REG
SK227364,COG
SK227366,REG
SK227365,REG
SK227355,REG
SK002983,REG
SK002979,REG
SK002975,COG
SK002972,SOC
SK002974,COG
SK002977,COG
SK203641,COG
SK203643,SOC
SK203675,COG
SK203647,TEC
SK203673,COG
SK203678,SOC
SK203666,TEC
SK203637,TEC
SK067788,REG
SK067795,COG
SK067793,REG
SK067778,COG
SK006999,COG
SK006994,COG
SK067683,REG
SK067672,COG
SK067673,REG
SK067677,COG
SK067675,COG
SK067670,COG
SK067668,COG
SK067666,COG
SK208834,REG
SK208837,TEC
SK208828,TEC
SK208840,SOC
SK208842,TEC
SK208848,SOC
SK208849,SOC
SK208845,COG
SK067820,COG
SK067818,REG
SK067824,REG
SK067813,COG
SK067819,TEC
SK067827,COG
SK067816,SOC
SK067798,COG
SK067806,COG
SK067804,TEC
SK067799,COG
SK067805,COG
SK039619,SOC
SK039618,REG
SK039610,SOC
SK072009,COG
SK072002,COG
SK180233,COG
SK180232,REG
SK180239,REG
SK180228,COG
SK180226,COG
SK180230,REG
SK206621,SOC
SK206618,TEC
SK206619,COG
SK206624,REG
SK208809,COG
SK072632,COG
SK072628,TEC
SK072633,SOC
SK187773,TEC
SK187768,COG
SK187772,SOC
SK187769,SOC
SK187767,SOC
SK187777,COG
SK187774,TEC
SK182272,REG
SK182280,REG
SK108800,SOC
SK108796,COG
SK233342,TEC
SK098391,COG
SK098433,COG
SK098400,REG
SK098396,COG
SK098394,SOC
SK098389,COG
SK098434,COG
SK107936,TEC
SK107930,TEC
SK127462,SOC
SK127454,COG
SK127453,TEC
SK101086,COG
SK101085,REG
SK101184,REG
SK101088,COG
SK101185,COG
SK101081,REG
SK101075,COG
SK101181,REG
SK101076,REG
SK101080,SOC
SK101074,COG
SK101077,REG
SK101180,REG
SK101079,COG
SK226060,REG
SK226058,COG
SK226055,TEC
SK226063,TEC
SK226061,REG
SK226056,SOC
SK216865,COG
SK216874,SOC
SK216864,COG
SK216873,TEC
SK216870,COG
SK118145,TEC
SK118151,TEC
SK147094,COG
SK208087,REG
SK208085,COG
SK219087,COG
SK219088,COG
SK219089,COG
SK219093,FND
SK219094,SLF
SK219102,COG
SK219104,FND
SK219097,FND
SK219109,COG
SK054741,COG
SK054743,SOC
SK054739,COG
SK058580,COG
SK058577,COG
SK058578,SOC
SK058575,COG
SK058581,COG
SK058572,COG
SK058579,COG
SK023103,COG
SK023101,SOC
SK023095,TEC
SK023097,TEC
SK023100,TEC
SK028715,COG
SK028719,REG
SK028712,COG
SK028670,SOC
SK028688,COG
SK028689,TEC
SK030153,COG
SK030155,REG
SK030152,TEC
SK030159,COG
SK028728,COG
SK028737,TEC
SK028645,TEC
SK028649,COG
SK028652,COG
SK028782,COG
SK028783,COG
SK028796,COG
SK028965,REG
SK028957,REG
SK028963,TEC
SK028960,COG
SK028674,TEC
SK028705,COG
SK035540,TEC
SK035541,COG
SK035538,COG
SK035543,COG
SK035539,COG
SK030236,COG
SK030232,REG
SK030228,TEC
SK030235,COG
SK030230,COG
SK030223,TEC
SK030470,COG
SK030463,TEC
SK030461,TEC
SK030466,TEC
SK030733,COG
SK033789,COG
SK033797,TEC
SK033792,COG
SK033788,TEC
SK033637,TEC
