skill_id,suffix
SK178891,WRK
SK178900,WRK
SK207104,WRK
SK207103,WRK
SK207097,WRK
SK207094,WRK
SK207101,WRK
SK207095,WRK
SK214318,WRK
SK214317,WRK
SK214324,WRK
SK006416,WRK
SK006412,WRK
SK006415,WRK
SK101408,WRK
SK101410,THE
SK178841,WRK
SK178843,WRK
SK178870,WRK
SK178837,WRK
SK178839,WRK
SK070594,WRK
SK070590,WRK
SK070597,WRK
SK070598,WRK
SK070591,WRK
SK228962,WRK
SK228975,WRK
SK174280,HYB
SK181033,WRK
SK181040,WRK
SK228986,WRK
SK228983,WRK
SK228989,WRK
SK010658,WRK
SK110345,WRK
SK110344,WRK
SK110343,HYB
SK110346,WRK
SK080871,WRK
SK080867,WRK
SK080862,WRK
SK080861,WRK
SK080864,WRK
SK080869,WRK
SK122538,PRA
SK122529,HYB
SK122537,PRA
SK122533,WRK
SK102237,WRK
SK102228,WRK
SK102233,WRK
SK102234,WRK
SK102242,WRK
SK102236,HYB
SK102256,WRK
SK182914,PRA
SK182903,WRK
SK182909,WRK
SK182913,PRA
SK182910,WRK
SK044203,WRK
SK044201,WRK
SK044199,WRK
SK044196,HYB
SK102332,WRK
SK102328,WRK
SK102325,WRK
SK102320,WRK
SK102327,WRK
SK102324,HYB
SK128987,WRK
SK128983,WRK
SK128986,WRK
SK128976,WRK
SK128625,WRK
SK128626,WRK
SK128627,WRK
SK128628,WRK
SK128629,WRK
SK128634,WRK
SK097538,WRK
SK097479,WRK
SK097476,WRK
SK097473,WRK
SK097480,WRK
SK097536,WRK
SK097478,WRK
SK097484,WRK
SK201928,WRK
SK201937,WRK
SK224153,WRK
SK224152,WRK
SK224144,WRK
SK058750,WRK
SK058748,HYB
SK058751,WRK
SK058760,WRK
SK058755,WRK
SK058749,WRK
SK080353,HYB
SK080356,HYB
SK080354,WRK
SK080360,WRK
SK080363,WRK
SK080364,HYB
SK102366,WRK
SK102369,WRK
SK102374,WRK
SK102371,WRK
SK102372,WRK
SK102368,WRK
SK102364,WRK
SK069132,WRK
SK069133,THE
SK069129,WRK
SK102361,WRK
SK102350,HYB
SK102353,WRK
SK102354,HYB
SK102363,HYB
SK102349,HYB
SK153285,WRK
SK153291,WRK
SK153294,WRK
SK153293,PRA
SK153284,WRK
SK153295,WRK
SK153287,WRK
SK153290,WRK
SK153292,WRK
SK151796,WRK
SK151794,WRK
SK151799,WRK
SK151802,WRK
SK151805,WRK
SK071939,WRK
SK071933,WRK
SK227386,WRK
SK227621,WRK
SK227389,HYB
SK227629,WRK
SK227385,WRK
SK227616,WRK
SK227394,WRK
SK227391,WRK
SK227360,WRK
SK227364,HYB
SK227366,THE
SK227365,WRK
SK227355,WRK
SK002983,HYB
SK002979,WRK
SK002975,WRK
SK002972,WRK
SK002974,WRK
SK002977,WRK
SK203641,WRK
SK203643,WRK
SK203675,WRK
SK203647,WRK
SK203673,WRK
SK203678,WRK
SK203666,WRK
SK203637,PRA
SK067788,WRK
SK067795,WRK
SK067793,WRK
SK067778,WRK
SK006999,WRK
SK006994,HYB
SK067683,WRK
SK067672,WRK
SK067673,HYB
SK067677,HYB
SK067675,THE
SK067670,HYB
SK067668,HYB
SK067666,WRK
SK208834,HYB
SK208837,HYB
SK208828,WRK
SK208840,WRK
SK208842,WRK
SK208848,WRK
SK208849,WRK
SK208845,WRK
SK067820,HYB
SK067818,WRK
SK067824,HYB
SK067813,HYB
SK067819,WRK
SK067827,WRK
SK067816,WRK
SK067798,HYB
SK067806,PRA
SK067804,WRK
SK067799,WRK
SK067805,HYB
SK039619,WRK
SK039618,WRK
SK039610,WRK
SK072009,HYB
SK072002,WRK
SK180233,WRK
SK180232,WRK
SK180239,WRK
SK180228,WRK
SK180226,WRK
SK180230,WRK
SK206621,WRK
SK206618,WRK
SK206619,WRK
SK206624,THE
SK208809,WRK
SK072632,WRK
SK072628,WRK
SK072633,WRK
SK187773,HYB
SK187768,HYB
SK187772,HYB
SK187769,WRK
SK187767,WRK
SK187777,DIG
SK187774,HYB
SK182272,WRK
SK182280,WRK
SK108800,WRK
SK108796,WRK
SK233342,WRK
SK098391,WRK
SK098433,WRK
SK098400,THE
SK098396,WRK
SK098394,WRK
SK098389,WRK
SK098434,WRK
SK107936,WRK
SK107930,WRK
SK127462,WRK
SK127454,WRK
SK127453,WRK
SK101086,WRK
SK101085,WRK
SK101184,WRK
SK101088,WRK
SK101185,WRK
SK101081,THE
SK101075,WRK
SK101181,WRK
SK101076,WRK
SK101080,WRK
SK101074,WRK
SK101077,WRK
SK101180,WRK
SK101079,WRK
SK226060,WRK
SK226058,WRK
SK226055,WRK
SK226063,WRK
SK226061,WRK
SK226056,WRK
SK216865,WRK
SK216874,WRK
SK216864,WRK
SK216873,WRK
SK216870,WRK
SK118145,WRK
SK118151,WRK
SK147094,WRK
SK208087,HYB
SK208085,WRK
SK219087,HYB
SK219088,HYB
SK219089,PRA
SK219093,HYB
SK219094,WRK
SK219102,HYB
SK219104,HYB
SK219097,PRA
SK219109,WRK
SK054741,HYB
SK054743,HYB
SK054739,HYB
SK058580,HYB
SK058577,THE
SK058578,WRK
SK058575,HYB
SK058581,HYB
SK058572,WRK
SK058579,WRK
SK023103,WRK
SK023101,WRK
SK023095,WRK
SK023097,WRK
SK023100,WRK
SK028715,WRK
SK028719,HYB
SK028712,WRK
SK028670,WRK
SK028688,WRK
SK028689,PRA
SK030153,WRK
SK030155,WRK
SK030152,WRK
SK030159,WRK
SK028728,WRK
SK028737,WRK
SK028645,PRA
SK028649,HYB
SK028652,WRK
SK028782,PRA
SK028783,WRK
SK028796,PRA
SK028965,WRK
SK028957,PRA
SK028963,WRK
SK028960,WRK
SK028674,WRK
SK028705,HYB
SK035540,WRK
SK035541,WRK
SK035538,HYB
SK035543,WRK
SK035539,WRK
SK030236,HYB
SK030232,WRK
SK030228,WRK
SK030235,HYB
SK030230,WRK
SK030223,WRK
SK030470,WRK
SK030463,THE
SK030461,WRK
SK030466,WRK
SK030733,WRK
SK033789,WRK
SK033797,WRK
SK033792,WRK
SK033788,WRK
SK033637,WRK
SK033644,WRK
SK033636,WRK
SK033648,WRK
SK034003,WRK
SK034004,WRK
SK034013,WRK
SK034011,WRK
SK034016,WRK
SK031856,PRA
SK031849,WRK
SK031854,WRK
SK031851,PRA
SK032168,WRK
SK032170,THE
SK032005,WRK
SK032003,WRK
SK032007,HYB
SK032001,HYB
SK031999,WRK
SK031998,WRK
SK032364,WRK
SK032367,WRK
SK031629,HYB
SK031628,THE
SK031626,WRK
SK031621,WRK
SK031627,WRK
SK031625,WRK
SK031405,WRK
SK030903,WRK
SK030899,WRK
SK030911,THE
SK030909,WRK
SK030968,WRK
SK030971,PRA
SK030973,HYB
SK030979,WRK
SK031383,HYB
SK031553,WRK
SK031544,WRK
SK031550,HYB
SK031477,WRK
SK031471,WRK
SK031470,WRK
SK031468,WRK
SK031476,WRK
SK031474,WRK
SK031467,WRK
SK031526,PRA
SK031529,WRK
SK031532,WRK
SK031537,WRK
SK031736,PRA
SK231302,WRK
SK231297,HYB
SK231295,WRK
SK231308,WRK
SK231306,WRK
SK166485,WRK
SK166494,WRK
SK166490,WRK
SK166481,WRK
SK166489,PRA
SK166483,PRA
SK159415,HYB
SK159408,PRA
SK123754,HYB
SK123753,WRK
SK123764,WRK
SK123762,WRK
SK189282,WRK
SK189279,WRK
SK189284,WRK
SK189278,HYB
SK146741,WRK
SK146729,WRK
SK146733,WRK
SK146731,WRK
SK146738,WRK
SK146730,WRK
SK160048,HYB
SK160050,HYB
SK160238,WRK
SK160233,WRK
SK160243,WRK
SK160052,WRK
SK127351,WRK
SK127343,WRK
SK127344,WRK
SK127348,PRA
SK045047,THE
SK045045,WRK
SK045046,WRK
SK045036,WRK
SK146680,WRK
SK146675,PRA
SK146678,WRK
SK146677,WRK
SK161342,WRK
SK161345,HYB
SK033134,WRK
SK033154,WRK
SK033140,WRK
SK033155,WRK
SK033136,WRK
SK033103,WRK
SK215707,WRK
SK215702,HYB
SK215713,WRK
SK215704,WRK
SK215711,WRK
SK215705,WRK
SK215709,WRK
SK088174,WRK
SK088167,WRK
SK088175,WRK
SK088168,WRK
SK088173,WRK
SK202498,WRK
SK174496,WRK
SK174499,WRK
SK108835,HYB
SK108837,HYB
SK108839,HYB
SK108832,HYB
SK144877,WRK
SK144875,WRK
SK081045,WRK
SK081048,HYB
SK081047,HYB
SK051634,PRA
SK051638,WRK
SK067301,WRK
SK067300,WRK
SK067298,WRK
SK120787,WRK
SK120797,HYB
SK120790,WRK
SK120798,HYB
SK120796,WRK
SK120788,HYB
SK120792,HYB
SK120789,WRK
SK120786,WRK
SK120794,HYB
SK004736,WRK
SK004732,HYB
SK004733,WRK
SK125062,WRK
SK125058,WRK
SK125067,HYB
SK125065,HYB
SK125059,WRK
SK125061,HYB
SK125064,WRK
SK125068,HYB
SK125069,HYB
SK054080,WRK
SK054084,WRK
SK099614,WRK
SK234664,PRA
SK234667,WRK
SK234663,WRK
SK234671,HYB
SK234673,WRK
SK234669,WRK
SK081098,WRK
SK081099,HYB
SK081095,WRK
SK081100,WRK
SK081107,DIG
SK081105,WRK
SK081102,HYB
SK081108,WRK
SK047065,WRK
SK047062,WRK
SK047060,WRK
SK047066,HYB
SK083852,HYB
SK083844,THE
SK083851,HYB
SK083854,WRK
SK119514,WRK
SK119522,HYB
SK043153,HYB
SK043156,WRK
SK154100,WRK
SK154068,HYB
SK154074,HYB
SK023223,WRK
SK023232,HYB
SK023233,HYB
SK161361,WRK
SK161360,WRK
SK161357,WRK
SK161368,WRK
SK161362,WRK
SK161358,WRK
SK202808,WRK
SK202815,HYB
SK202805,WRK
SK202802,WRK
SK202813,WRK
SK202811,WRK
SK202803,WRK
SK107050,WRK
SK107046,WRK
SK107051,WRK
SK107055,WRK
SK107054,THE
SK107052,PRA
SK107057,PRA
SK107053,WRK
SK005370,HYB
SK005368,PRA
SK005364,THE
SK005372,WRK
SK005369,HYB
SK005360,WRK
SK005371,WRK
SK005363,WRK
SK005361,THE
SK173851,THE
SK173850,WRK
SK173846,HYB
SK171598,HYB
SK173853,WRK
SK171596,WRK
SK171593,HYB
SK173844,HYB
SK171597,WRK
SK173848,WRK
SK099542,WRK
SK099552,HYB
SK099550,WRK
SK099551,WRK
SK099547,WRK
SK044118,WRK
SK044119,WRK
SK128752,WRK
SK128761,WRK
SK101090,WRK
SK101096,WRK
SK101101,WRK
SK101092,WRK
SK162244,WRK
SK162250,WRK
SK162247,HYB
SK162254,THE
SK162258,WRK
SK125748,WRK
SK125738,WRK
SK125739,WRK
SK125743,WRK
SK054066,WRK
SK054070,HYB
SK054068,HYB
SK054072,WRK
SK054067,WRK
SK054104,HYB
SK054103,HYB
SK054107,HYB
SK054110,WRK
SK054116,HYB
SK054105,HYB
SK054109,WRK
SK162203,PRA
SK162213,WRK
SK162209,WRK
SK162204,WRK
SK162201,PRA
SK162205,WRK
SK162946,WRK
SK162953,THE
SK162956,HYB
SK162957,HYB
SK162952,WRK
SK162955,HYB
SK162947,THE
SK161752,THE
SK074060,THE
SK074063,WRK
SK074067,THE
SK128150,WRK
SK128300,WRK
SK128295,WRK
SK128151,HYB
SK128149,WRK
SK054130,WRK
SK054120,WRK
SK054122,WRK
SK054125,WRK
SK054124,WRK
SK055089,WRK
SK055085,THE
SK055081,WRK
SK055088,PRA
SK055093,WRK
SK055087,THE
SK100818,HYB
SK100822,WRK
SK100816,WRK
SK100825,WRK
SK202820,WRK
SK202817,WRK
SK202824,WRK
SK202819,WRK
SK144413,HYB
SK144421,THE
SK144411,HYB
SK013126,HYB
SK013130,WRK
SK013133,WRK
SK013135,HYB
SK159427,WRK
SK230304,WRK
SK230303,WRK
SK154078,THE
SK154086,PRA
SK154077,HYB
SK154088,THE
SK154082,HYB
SK154080,HYB
SK154085,WRK
SK154091,WRK
SK147481,PRA
SK147484,WRK
SK147477,WRK
SK147478,WRK
SK147486,WRK
SK147487,PRA
SK081083,THE
SK081091,HYB
SK081082,HYB
SK081094,WRK
SK081086,WRK
SK081087,HYB
SK081084,HYB
SK081089,HYB
SK081081,WRK
SK123824,WRK
SK123826,WRK
SK123820,WRK
SK123825,WRK
SK123818,PRA
SK213759,HYB
SK213762,WRK
SK213899,WRK
SK213752,WRK
SK213750,WRK
SK213749,WRK
SK213901,HYB
SK213897,HYB
SK213758,HYB
SK213896,HYB
SK213763,HYB
SK213754,WRK
SK213895,DIG
SK003474,WRK
SK003466,WRK
SK003473,WRK
SK003476,WRK
SK208749,WRK
SK208750,WRK
SK208760,WRK
SK208757,WRK
SK208755,WRK
SK208748,WRK
SK208751,PRA
SK208761,WRK
SK141450,PRA
SK141455,HYB
SK173854,WRK
SK173862,WRK
SK173858,WRK
SK173859,WRK
SK173867,HYB
SK188179,WRK
SK188186,WRK
SK188191,WRK
SK188181,PRA
SK188189,HYB
SK188183,WRK
SK188193,WRK
SK174219,WRK
SK174225,WRK
SK174220,WRK
SK174214,THE
SK174218,WRK
SK099502,WRK
SK099507,WRK
SK099508,WRK
SK125084,WRK
SK125074,WRK
SK125076,HYB
SK125082,WRK
SK125083,WRK
SK125073,HYB
SK125079,THE
SK125075,PRA
SK240678,WRK
SK240683,WRK
SK124297,WRK
SK124305,WRK
SK124299,WRK
SK124295,HYB
SK084537,WRK
SK084543,PRA
SK125276,WRK
SK125284,WRK
SK125277,HYB
SK125275,WRK
SK230317,THE
SK230316,WRK
SK164281,HYB
SK164292,WRK
SK164293,WRK
SK164285,WRK
SK164288,WRK
SK164282,WRK
SK164286,WRK
SK164289,WRK
SK089899,PRA
SK089900,THE
SK089892,WRK
SK026893,WRK
SK026891,WRK
SK165707,HYB
SK165710,WRK
SK165712,HYB
SK165705,PRA
SK165711,THE
SK173889,THE
SK173883,WRK
SK173887,WRK
SK173891,WRK
SK173886,WRK
SK173893,THE
SK173894,PRA
SK173896,HYB
SK173890,WRK
SK235379,WRK
SK235382,WRK
SK235385,WRK
SK231933,WRK
SK231940,HYB
SK231932,WRK
SK231931,WRK
SK231930,WRK
SK231929,WRK
SK231939,WRK
SK231934,WRK
SK235396,WRK
SK179309,THE
SK179302,THE
SK179299,PRA
SK179310,HYB
SK179305,THE
SK179307,PRA
SK179190,THE
SK179198,PRA
SK179192,PRA
SK235406,WRK
SK235411,WRK
SK235410,WRK
SK072091,WRK
SK072096,WRK
SK072101,HYB
SK005276,HYB
SK005282,HYB
SK005278,HYB
SK005283,WRK
SK005271,HYB
SK005274,WRK
SK005280,THE
SK235414,WRK
SK235422,WRK
SK235421,WRK
SK235420,HYB
SK235419,WRK
SK218553,WRK
SK218557,WRK
SK218564,WRK
SK218559,HYB
SK218554,WRK
SK120604,WRK
SK120608,PRA
SK120596,WRK
SK120606,WRK
SK120598,PRA
SK120600,PRA
SK120601,WRK
SK120599,WRK
SK120624,PRA
SK120634,WRK
SK120637,WRK
SK120625,PRA
SK120628,WRK
SK120626,WRK
SK120636,HYB
SK120627,WRK
SK120632,HYB
SK177003,WRK
SK177004,WRK
SK177002,WRK
SK177008,WRK
SK177011,WRK
SK177009,HYB
SK177078,WRK
SK104658,WRK
SK104661,WRK
SK152338,WRK
SK152336,HYB
SK152344,WRK
SK152337,PRA
SK152340,WRK
SK152341,PRA
SK158926,WRK
SK158911,WRK
SK158909,WRK
SK158931,WRK
SK158930,WRK
SK223949,WRK
SK223951,WRK
SK223946,WRK
SK087437,WRK
SK087439,THE
SK087443,HYB
SK087427,WRK
SK087422,WRK
SK087425,HYB
SK087424,WRK
SK114002,HYB
SK114001,WRK
SK113999,HYB
SK113997,HYB
SK114005,HYB
SK197852,WRK
SK197850,WRK
SK197854,WRK
SK197853,WRK
SK106439,WRK
SK106434,WRK
SK106441,WRK
SK106428,WRK
SK106435,WRK
SK106438,WRK
SK106429,PRA
SK106431,WRK
SK243686,WRK
SK244974,WRK
SK244960,WRK
SK244973,WRK
SK244962,WRK
SK224373,WRK
SK204209,THE
SK204204,WRK
SK204202,HYB
SK204207,WRK
SK204199,WRK
SK204206,WRK
SK144185,THE
SK144198,THE
SK144188,WRK
SK144189,THE
SK144190,HYB
SK145186,THE
SK145193,THE
SK145192,HYB
SK145195,HYB
SK145190,THE
SK145197,HYB
SK145187,WRK
SK145188,WRK
SK145194,THE
SK145196,THE
SK042871,DIG
SK096398,WRK
SK096395,PRA
SK096400,PRA
SK096397,HYB
SK096391,WRK
SK096399,WRK
SK096388,WRK
SK096389,WRK
SK096401,WRK
SK085520,HYB
SK085517,PRA
SK085523,WRK
SK085516,PRA
SK085522,PRA
SK085515,THE
SK085513,HYB
SK085518,PRA
SK085512,PRA
SK145214,THE
SK145224,HYB
SK204254,WRK
SK204245,WRK
SK204248,WRK
SK204256,DIG
SK124404,PRA
SK124403,HYB
SK124406,PRA
SK124396,HYB
SK124399,WRK
SK124402,HYB
SK143136,WRK
SK143148,WRK
SK143139,WRK
SK143142,PRA
SK143141,WRK
SK143149,PRA
SK143145,WRK
SK131175,THE
SK131187,PRA
SK131177,THE
SK131178,WRK
SK131190,WRK
SK131204,WRK
SK131199,WRK
SK131198,WRK
SK131201,HYB
SK131203,HYB
SK131192,WRK
SK131196,HYB
SK131212,THE
SK131214,THE
SK131205,WRK
SK131215,HYB
SK131206,THE
SK131210,WRK
SK131216,HYB
SK131209,WRK
SK131217,HYB
SK131228,HYB
SK131229,HYB
SK131227,WRK
SK131222,HYB
SK131230,HYB
SK131224,HYB
SK124600,PRA
SK124609,HYB
SK124599,WRK
SK124605,PRA
SK124608,PRA
SK124613,PRA
SK124606,PRA
SK126888,THE
SK126883,PRA
SK126884,PRA
SK126893,PRA
SK126889,WRK
SK134200,HYB
SK134193,THE
SK134191,PRA
SK134189,WRK
SK134196,THE
